structgrpname,rvindicator,chkey,chstructgrpkey
moderate medium granular structure,Yes,65222748,37116120
moderate medium subangular blocky structure,Yes,65222800,37116148
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219355,37112543
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65222815,37116162
strong extremely coarse prismatic structure,Yes,65221855,37116476
weak medium prismatic structure parts to moderate fine subangular blocky structure,Yes,65224969,37112300
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224166,37116726
weak coarse prismatic structure parting to weak coarse subangular blocky structure,Yes,65221866,37116473
weak fine subangular blocky structure,Yes,65219624,37114121
weak very fine subangular blocky structure,Yes,65224145,37116729
weak coarse prismatic structure,Yes,65219499,37112757
massive,Yes,65222826,37116172
"weak medium prismatic structure parting to weak medium subangular blocky structure, and massive",Yes,65222884,37116181
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224104,37116191
weak medium subangular blocky structure,Yes,65224968,37112299
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224156,37116716
weak fine subangular blocky structure,Yes,65219510,37112578
moderate medium granular structure,Yes,65222770,37115121
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65223746,37115516
weak medium subangular blocky structure,Yes,65221822,37116459
moderate fine subangular blocky structure,Yes,65222796,37116142
weak medium subangular blocky structure,Yes,65224988,37117640
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224158,37116718
weak fine subangular blocky structure,Yes,65219591,37112599
weak coarse prismatic structure parting to weak fine and medium subangular blocky structure,Yes,65221823,37116458
weak medium prismatic structure,Yes,65222881,37116177
massive,Yes,65224136,37116700
weak fine subangular blocky structure parting to moderate fine granular structure,Yes,65224123,37116696
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219513,37112579
moderate medium granular structure,Yes,65219507,37112577
weak coarse subangular blocky structure,Yes,65224147,37116731
moderate fine granular structure,Yes,65221727,37115308
moderate fine subangular blocky structure,Yes,65219587,37114111
moderate fine subangular blocky structure,Yes,65222822,37116158
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224165,37116725
moderate medium granular structure,Yes,65219307,37112723
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65222888,37116184
weak fine subangular blocky structure,Yes,65221728,37115309
massive,Yes,65224112,37116207
weak fine subangular blocky structure,Yes,65221854,37116474
weak fine subangular blocky structure parting to weak fine granular structure,Yes,65219643,37114132
weak very coarse prismatic structure,Yes,65222752,37116118
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65224134,37116688
"weak medium prismatic structure parting to weak medium subangular blocky structure, and massive",Yes,65224125,37116698
massive,Yes,65223753,37116331
