soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
46,46,91,200,200,200,Wet,231109122,145113477
0,0,0,46,46,91,Moist,231109122,145113478
61,61,107,200,200,200,Wet,231109131,145113495
0,0,0,61,61,107,Moist,231109131,145113496
0,0,0,122,122,198,Moist,231109110,145113453
122,122,198,200,200,200,Wet,231109110,145113454
0,0,0,61,61,107,Moist,231109121,145113475
61,61,107,200,200,200,Wet,231109121,145113476
0,0,0,91,91,168,Moist,231102345,145101393
91,91,168,200,200,200,Wet,231102345,145101394
61,61,107,200,200,200,Wet,231109132,145113497
0,0,0,61,61,107,Moist,231109132,145113498
0,0,0,200,200,200,Moist,231102353,145101407
0,0,0,200,200,200,Moist,231106795,145109216
0,0,0,46,46,91,Moist,231109133,145113499
46,46,91,200,200,200,Wet,231109133,145113500
76,76,152,200,200,200,Wet,231104848,145105872
0,0,0,76,76,152,Moist,231104848,145105873
0,0,0,91,91,168,Moist,231104858,145105892
91,91,168,200,200,200,Wet,231104858,145105893
107,107,183,200,200,200,Wet,231109111,145113455
0,0,0,107,107,183,Moist,231109111,145113456
0,0,0,200,200,200,Moist,231102360,145101414
0,0,0,200,200,200,Moist,231106784,145109205
0,0,0,200,200,200,Moist,231106526,145108858
0,0,0,91,91,122,Moist,231104869,145105914
91,91,122,200,200,200,Wet,231104869,145105915
0,0,0,46,46,91,Moist,231109142,145113517
46,46,91,200,200,200,Wet,231109142,145113518
0,0,0,200,200,200,Moist,231106515,145108847
