cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,413204,15506813
Soybeans,Bu,52,56,60,NA,NA,NA,413204,15506814
Corn,Bu,174,193.5,230,NA,NA,NA,413204,15506808
Oats,Bu,68,76.5,92,NA,NA,NA,413204,15506812
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,413204,15506807
Canarygrass hay,Tons,3,3,3,NA,NA,NA,413204,15506810
Corn silage,Tons,18,18,18,NA,NA,NA,413204,15506809
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,413204,15506805
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,413203,15506798
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,413203,15506801
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,413203,15506803
Soybeans,Bu,61,61,61,NA,NA,NA,413203,15506804
Corn,Bu,212,212,212,NA,NA,NA,413203,15506800
Oats,Bu,85,88,91,NA,NA,NA,413203,15506802
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,413203,15506799
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,1585968,15513749
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,1585968,15513752
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,1585968,15513754
Soybeans,Bu,58,61,64,NA,NA,NA,1585968,15513755
Oats,Bu,88,91,94,NA,NA,NA,1585968,15513753
Corn,Bu,200,210,220,NA,NA,NA,1585968,15513751
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,1585968,15513750
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,1585969,15513756
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,1585969,15513759
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,1585969,15513761
Soybeans,Bu,45,48.5,52,NA,NA,NA,1585969,15513762
Oats,Bu,88,90.5,93,NA,NA,NA,1585969,15513760
Corn,Bu,184,188,192,NA,NA,NA,1585969,15513758
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,1585969,15513757
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,1585972,15513764
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,1585972,15513769
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,1585972,15513771
Soybeans,Bu,52,56,60,NA,NA,NA,1585972,15513772
Oats,Bu,68,76.5,92,NA,NA,NA,1585972,15513770
Corn,Bu,174,193.5,230,NA,NA,NA,1585972,15513766
Corn silage,Tons,18,18,18,NA,NA,NA,1585972,15513767
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,1585972,15513765
Canarygrass hay,Tons,3,3,3,NA,NA,NA,1585972,15513768
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,1585972,15513763
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,403209,15513864
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403209,15513867
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,403209,15513869
Soybeans,Bu,52,62,62,NA,NA,NA,403209,15513870
Corn,Bu,215,215,215,NA,NA,NA,403209,15513866
Oats,Bu,86,92,93,NA,NA,NA,403209,15513868
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,403209,15513865
Bromegrass-alfalfa,AUM,10,10.3,10.3,NA,NA,NA,403210,15513871
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403210,15513874
Smooth bromegrass,AUM,5.8,6,6.3,NA,NA,NA,403210,15513876
Soybeans,Bu,48,50,52,NA,NA,NA,403210,15513877
Corn,Bu,174,174,174,NA,NA,NA,403210,15513873
Oats,Bu,85,88.5,92,NA,NA,NA,403210,15513875
Bromegrass-alfalfa hay,Tons,6,6.1,6.2,NA,NA,NA,403210,15513872
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,403266,15513857
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,403266,15513860
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,403266,15513862
Soybeans,Bu,58,61,64,NA,NA,NA,403266,15513863
Corn,Bu,200,210,220,NA,NA,NA,403266,15513859
Oats,Bu,88,91,94,NA,NA,NA,403266,15513861
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,403266,15513858
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,403267,15513878
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,403267,15513881
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,403267,15513883
Soybeans,Bu,45,48.5,52,NA,NA,NA,403267,15513884
Corn,Bu,184,188,192,NA,NA,NA,403267,15513880
Oats,Bu,88,90.5,93,NA,NA,NA,403267,15513882
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,403267,15513879
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,403268,15513885
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,403268,15513888
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,403268,15513890
Soybeans,Bu,61,61,61,NA,NA,NA,403268,15513891
Corn,Bu,212,212,212,NA,NA,NA,403268,15513887
Oats,Bu,85,88,91,NA,NA,NA,403268,15513889
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,403268,15513886
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,403356,15514033
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403356,15514036
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,403356,15514038
Soybeans,Bu,52,62,62,NA,NA,NA,403356,15514039
Oats,Bu,86,92,93,NA,NA,NA,403356,15514037
Corn,Bu,215,215,215,NA,NA,NA,403356,15514035
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,403356,15514034
Bromegrass-alfalfa,AUM,10,10.3,10.3,NA,NA,NA,403357,15514040
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403357,15514043
Smooth bromegrass,AUM,5.8,6,6.3,NA,NA,NA,403357,15514045
Soybeans,Bu,48,50,52,NA,NA,NA,403357,15514046
Oats,Bu,85,88.5,92,NA,NA,NA,403357,15514044
Corn,Bu,174,174,174,NA,NA,NA,403357,15514042
Bromegrass-alfalfa hay,Tons,6,6.1,6.2,NA,NA,NA,403357,15514041
Bromegrass-alfalfa,AUM,8.9,9.6,10,NA,NA,NA,403358,15514047
Kentucky bluegrass,AUM,3.2,3.4,3.5,NA,NA,NA,403358,15514050
Smooth bromegrass,AUM,5.3,5.6,5.8,NA,NA,NA,403358,15514052
Soybeans,Bu,37,44,48,NA,NA,NA,403358,15514053
Oats,Bu,73,81,85,NA,NA,NA,403358,15514051
Corn,Bu,159,162,163,NA,NA,NA,403358,15514049
Bromegrass-alfalfa hay,Tons,5.4,5.8,6,NA,NA,NA,403358,15514048
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,403442,15514026
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,403442,15514029
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,403442,15514031
Soybeans,Bu,58,61,64,NA,NA,NA,403442,15514032
Oats,Bu,88,91,94,NA,NA,NA,403442,15514030
Corn,Bu,200,210,220,NA,NA,NA,403442,15514028
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,403442,15514027
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,403443,15514054
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,403443,15514057
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,403443,15514059
Soybeans,Bu,45,48.5,52,NA,NA,NA,403443,15514060
Oats,Bu,88,90.5,93,NA,NA,NA,403443,15514058
Corn,Bu,184,188,192,NA,NA,NA,403443,15514056
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,403443,15514055
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,403444,15514061
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,403444,15514064
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,403444,15514066
Soybeans,Bu,61,61,61,NA,NA,NA,403444,15514067
Oats,Bu,85,88,91,NA,NA,NA,403444,15514065
Corn,Bu,212,212,212,NA,NA,NA,403444,15514063
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,403444,15514062
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,403446,15514069
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,403446,15514074
