aashtocl,rvindicator,chkey,chaashtokey
A-7-6,Yes,65224972,106548846
A-7,No ,65219536,106540623
A-6,Yes,65219536,106540624
A-7-6,Yes,65224991,106548873
A-6,No ,65224991,106548874
A-7-6,Yes,65223745,106547389
A-6,No ,65223745,106547390
A-7-6,Yes,65222799,106545653
A-6,No ,65222799,106545654
A-6,Yes,65219621,106540744
A-7-6,Yes,65224107,106547802
A-7-6,Yes,65224159,106547892
A-6,Yes,65219367,106540357
A-7,No ,65219367,106540358
A-7-6,Yes,65222882,106545801
A-7,Yes,65219641,106540768
A-6,No ,65224111,106547808
A-7-6,Yes,65224111,106547809
A-7,Yes,65222764,106545584
A-6,Yes,65219620,106540742
A-7,No ,65219620,106540743
A-7,No ,65219356,106540339
A-7-6,Yes,65222880,106545799
A-7-6,Yes,65224987,106548869
A-6,Yes,65223756,106547407
A-7-6,No ,65223756,106547408
A-7,No ,65219306,106540275
A-7-6,Yes,65224152,106547880
A-6,No ,65224152,106547881
A-7-6,Yes,65222821,106545697
A-6,No ,65222821,106545698
A-7,No ,65219235,106540171
A-6,No ,65219235,106540172
A-6,No ,65221856,106544069
A-7,Yes,65221856,106544070
A-6,Yes,65221730,106543832
A-7-6,No ,65221730,106543833
A-7-6,Yes,65222797,106545649
A-6,No ,65222797,106545650
A-4,No ,65219516,106540587
A-6,No ,65219516,106540588
A-6,Yes,65219588,106540699
A-6,No ,65224133,106547845
A-7-6,Yes,65224133,106547846
A-7-6,Yes,65224137,106547853
A-7,No ,65219631,106540756
A-6,Yes,65219631,106540757
A-6,Yes,65221726,106543826
A-7-6,No ,65221726,106543827
A-6,Yes,65219419,106540438
A-6,Yes,65219630,106540755
A-4,Yes,65221830,106544022
A-6,No ,65221830,106544023
A-6,No ,65224144,106547863
A-7,Yes,65224144,106547864
A-7,No ,65224114,106547815
A-6,Yes,65224114,106547816
A-4,No ,65224114,106547817
A-7-6,Yes,65224167,106547903
A-6,No ,65219227,106540160
A-7,Yes,65219227,106540161
A-7,No ,65223749,106547394
A-6,Yes,65223749,106547395
A-7-5,Yes,65224155,106547886
A-7-6,No ,65224155,106547887
A-6,No ,65219407,106540421
A-7-6,No ,65221864,106544084
A-6,Yes,65221864,106544085
A-7-6,Yes,65222885,106545805
A-6,No ,65222885,106545806
A-7-6,Yes,65224990,106548872
A-7-6,Yes,65222889,106545811
A-7-6,Yes,65224103,106547796
A-6,Yes,65219366,106540355
A-7,No ,65219366,106540356
A-7,No ,65219514,106540585
A-6,Yes,65223750,106547396
