soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
NA,76,NA,NA,203,NA,Moist,231252305,145273914
46,46,61,76,76,76,Wet,231252305,145273913
0,0,0,46,46,61,Moist,231262676,145289409
61,61,61,200,200,200,Moist,231262676,145289411
46,46,61,61,61,61,Wet,231262676,145289410
0,0,0,200,200,200,Moist,231262473,145289084
0,0,0,61,61,137,Moist,231259782,145283894
61,61,137,203,203,203,Wet,231259782,145283895
NA,0,NA,NA,46,NA,Moist,231253272,145275120
NA,76,NA,NA,203,NA,Moist,231253272,145275122
46,46,61,76,76,76,Wet,231253272,145275121
0,0,0,200,200,200,Moist,231259466,145283471
NA,0,NA,NA,46,NA,Moist,231251969,145273445
NA,76,NA,NA,203,NA,Moist,231251969,145273447
46,46,61,76,76,76,Wet,231251969,145273446
0,0,0,30,30,46,Moist,231262680,145289421
61,61,61,200,200,200,Moist,231262680,145289423
30,30,46,61,61,61,Wet,231262680,145289422
0,0,0,107,107,183,Moist,231252272,145273864
107,107,183,203,203,203,Wet,231252272,145273865
0,0,0,200,200,200,Moist,231262547,145289194
0,0,0,0,15,30,,231252106,145273674
0,15,30,183,183,183,Wet,231252106,145273675
0,0,0,61,61,137,Moist,231266055,145295740
61,61,137,200,200,200,Wet,231266055,145295741
NA,0,NA,NA,46,NA,Moist,231253314,145275132
NA,76,NA,NA,203,NA,Moist,231253314,145275134
46,46,61,76,76,76,Wet,231253314,145275133
0,0,0,200,200,200,Moist,231259455,145283460
NA,76,NA,NA,203,NA,Moist,231252522,145274168
NA,0,NA,NA,61,NA,Moist,231252522,145274166
61,61,76,76,76,76,Wet,231252522,145274167
NA,0,NA,NA,203,NA,Moist,231252523,145274169
0,0,0,200,200,200,Moist,231259476,145283481
0,0,0,61,61,107,Moist,231266047,145295725
61,61,107,200,200,200,Wet,231266047,145295724
0,0,0,0,0,0,Moist,231262702,145289469
61,61,61,200,200,200,Moist,231262702,145289471
0,0,30,61,61,61,Wet,231262702,145289470
0,0,0,137,137,198,Moist,231259708,145283795
137,137,198,200,200,200,Wet,231259708,145283794
0,0,0,91,91,168,Moist,231262404,145288990
91,91,168,200,200,200,Wet,231262404,145288991
0,0,0,61,92,122,,231251813,145273176
61,92,122,183,183,183,Wet,231251813,145273177
0,0,0,200,200,200,Moist,231259695,145283778
0,0,0,61,61,107,Moist,231266132,145295883
61,61,107,200,200,200,Wet,231266132,145295882
0,0,0,200,200,200,Moist,231262362,145288925
0,0,0,46,46,91,Moist,231265031,145293913
46,46,91,200,200,200,Wet,231265031,145293912
0,0,0,15,15,61,Moist,231266018,145295667
15,15,61,200,200,200,Wet,231266018,145295666
NA,0,NA,NA,46,NA,Moist,231253155,145274949
NA,76,NA,NA,203,NA,Moist,231253155,145274951
46,46,61,76,76,76,Wet,231253155,145274950
0,0,0,61,92,122,,231252084,145273634
61,92,122,183,183,183,Wet,231252084,145273635
0,0,0,46,46,122,Moist,231262529,145289169
46,46,122,200,200,200,Wet,231262529,145289168
0,0,0,203,203,203,Moist,231251826,145273191
0,0,0,200,200,200,Moist,231259454,145283459
0,0,0,203,203,203,Moist,231266110,145295841
0,0,0,46,46,122,Moist,231266084,145295798
46,46,122,200,200,200,Wet,231266084,145295799
0,0,0,76,76,152,Moist,231266029,145295689
76,76,152,200,200,200,Wet,231266029,145295688
0,0,0,91,91,168,Moist,231266058,145295746
91,91,168,200,200,200,Wet,231266058,145295747
0,0,0,200,200,200,Moist,231262367,145288930
0,0,0,91,91,168,Moist,231262399,145288980
91,91,168,200,200,200,Wet,231262399,145288981
0,0,0,61,92,122,,231252073,145273618
61,92,122,183,183,183,Wet,231252073,145273619
0,0,0,200,200,200,Moist,231259772,145283879
0,0,0,61,61,91,Moist,231268450,145299832
61,61,91,200,200,200,Wet,231268450,145299833
0,0,0,30,30,107,Moist,231266121,145295860
30,30,107,200,200,200,Wet,231266121,145295861
0,0,0,203,203,203,Moist,231252316,145273933
0,0,0,200,200,200,Moist,231259776,145283883
0,0,0,91,91,168,Moist,231262351,145288908
91,91,168,200,200,200,Wet,231262351,145288909
0,0,0,0,15,30,,231251806,145273164
0,15,30,183,183,183,Wet,231251806,145273165
0,0,0,91,91,168,Moist,231266040,145295711
91,91,168,200,200,200,Wet,231266040,145295710
0,0,0,30,30,61,Moist,231252095,145273657
30,30,61,203,203,203,Wet,231252095,145273656
0,0,0,183,183,200,Moist,231262488,145289110
183,183,200,200,200,200,Wet,231262488,145289111
0,0,0,15,15,46,Moist,231266073,145295776
15,15,46,200,200,200,Wet,231266073,145295777
0,0,0,200,200,200,Moist,231262558,145289205
NA,0,NA,NA,46,NA,Moist,231251980,145273468
NA,76,NA,NA,203,NA,Moist,231251980,145273470
46,46,61,76,76,76,Wet,231251980,145273469
0,0,0,61,61,107,Moist,231265027,145293905
61,61,107,200,200,200,Wet,231265027,145293904
0,0,0,137,137,198,Moist,231252819,145274556
137,137,198,203,203,203,Wet,231252819,145274555
0,0,0,200,200,200,Moist,231259475,145283480
NA,NA,NA,183,183,183,,231251954,145273413
0,0,0,30,61,91,,231251954,145273414
30,61,91,NA,NA,NA,Wet,231251954,145273415
0,0,0,200,200,200,Moist,231259797,145283916
0,0,0,30,30,107,Moist,231252268,145273856
30,30,107,203,203,203,Wet,231252268,145273857
0,0,0,76,76,152,Moist,231266062,145295754
76,76,152,200,200,200,Wet,231266062,145295755
NA,0,NA,NA,203,NA,Moist,231253315,145275135
0,0,0,46,46,122,Moist,231262352,145288910
46,46,122,200,200,200,Wet,231262352,145288911
0,0,0,15,15,61,Moist,231268446,145299824
15,15,61,200,200,200,Wet,231268446,145299825
0,0,0,200,200,200,Moist,231259798,145283917
0,0,0,200,200,200,Moist,231262540,145289187
0,0,0,137,137,198,Moist,231262691,145289445
137,137,198,200,200,200,Wet,231262691,145289444
0,0,0,203,203,203,Moist,231251795,145273148
0,0,0,168,168,200,Moist,231262665,145289386
168,168,200,200,200,200,Wet,231262665,145289387
0,0,0,203,203,203,Moist,231252290,145273893
0,0,0,30,30,107,Moist,231266036,145295702
30,30,107,200,200,200,Wet,231266036,145295703
0,0,0,203,203,203,Moist,231252923,145274663
0,0,0,61,61,107,Moist,231265042,145293934
61,61,107,200,200,200,Wet,231265042,145293935
0,0,0,200,200,200,Moist,231262414,145289001
0,0,0,200,200,200,Moist,231262410,145288997
NA,0,NA,NA,203,NA,Moist,231252501,145274145
0,0,0,46,46,91,Moist,231266099,145295829
46,46,91,200,200,200,Wet,231266099,145295828
0,0,0,200,200,200,Moist,231259697,145283780
NA,76,NA,NA,203,NA,Moist,231259486,145283500
NA,0,NA,NA,30,NA,Moist,231259486,145283501
30,30,46,76,76,76,Wet,231259486,145283499
0,0,0,76,76,152,Moist,231259787,145283904
76,76,152,203,203,203,Wet,231259787,145283905
0,0,0,46,46,122,Moist,231268502,145299936
46,46,122,200,200,200,Wet,231268502,145299937
NA,0,NA,NA,203,NA,Moist,231252301,145273904
0,0,0,61,61,107,Moist,231266136,145295890
61,61,107,200,200,200,Wet,231266136,145295891
0,0,0,61,61,107,Moist,231266095,145295821
61,61,107,200,200,200,Wet,231266095,145295820
0,0,0,15,15,61,Moist,231266147,145295913
15,15,61,200,200,200,Wet,231266147,145295912
0,0,0,200,200,200,Moist,231259465,145283470
0,0,0,76,76,107,Moist,231252058,145273599
76,76,107,203,203,203,Wet,231252058,145273598
0,0,0,0,15,30,,231252105,145273672
0,15,30,183,183,183,Wet,231252105,145273673
0,0,0,203,203,203,Moist,231266106,145295837
0,0,0,0,0,30,Moist,231265024,145293899
0,0,30,200,200,200,Wet,231265024,145293898
