soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,200,200,200,Moist,231262467,145289078
0,0,0,0,0,0,Moist,231262678,145289415
61,61,61,200,200,200,Moist,231262678,145289417
0,0,30,61,61,61,Wet,231262678,145289416
0,0,0,91,91,122,Moist,231266049,145295729
91,91,122,200,200,200,Wet,231266049,145295728
0,0,0,46,46,91,Moist,231268445,145299822
46,46,91,200,200,200,Wet,231268445,145299823
0,15,30,183,183,183,Wet,231252877,145274618
0,0,0,0,15,30,,231252877,145274617
0,0,0,200,200,200,Moist,231259470,145283475
NA,0,NA,NA,46,NA,Moist,231251968,145273442
NA,76,NA,NA,203,NA,Moist,231251968,145273444
46,46,61,76,76,76,Wet,231251968,145273443
0,0,0,76,76,152,Moist,231266123,145295864
76,76,152,200,200,200,Wet,231266123,145295865
NA,0,NA,NA,203,NA,Moist,231252517,145274155
61,92,122,183,183,183,Wet,231252902,145274638
0,0,0,61,92,122,,231252902,145274637
0,0,0,198,198,200,Moist,231265052,145293954
198,198,200,200,200,200,Wet,231265052,145293955
0,0,0,91,91,168,Moist,231259788,145283906
91,91,168,203,203,203,Wet,231259788,145283907
0,0,0,46,46,122,Moist,231266086,145295802
46,46,122,200,200,200,Wet,231266086,145295803
0,0,0,61,92,122,,231252074,145273620
61,92,122,183,183,183,Wet,231252074,145273621
NA,0,NA,NA,61,NA,Moist,231253266,145275108
NA,76,NA,NA,203,NA,Moist,231253266,145275110
61,61,76,76,76,76,Wet,231253266,145275109
0,0,0,61,61,107,Moist,231268493,145299919
61,61,107,200,200,200,Wet,231268493,145299918
0,0,0,0,15,30,,231252100,145273666
0,15,30,183,183,183,Wet,231252100,145273667
NA,0,NA,NA,203,NA,Moist,231253267,145275111
0,0,0,61,61,107,Moist,231266027,145295685
61,61,107,200,200,200,Wet,231266027,145295684
NA,0,NA,NA,203,NA,Moist,231253153,145274947
0,0,0,15,15,61,Moist,231265025,145293901
15,15,61,200,200,200,Wet,231265025,145293900
0,0,0,0,15,30,,231252063,145273608
0,15,30,183,183,183,Wet,231252063,145273609
0,0,0,0,0,30,Moist,231268497,145299926
0,0,30,200,200,200,Wet,231268497,145299927
0,0,0,203,203,203,Moist,231266108,145295839
0,0,0,203,203,203,Moist,231251832,145273197
0,0,0,91,91,168,Moist,231262535,145289180
91,91,168,200,200,200,Wet,231262535,145289181
0,0,0,61,61,107,Moist,231265036,145293922
61,61,107,200,200,200,Wet,231265036,145293923
0,0,0,91,91,168,Moist,231266038,145295707
91,91,168,200,200,200,Wet,231266038,145295706
0,0,0,61,61,137,Moist,231252270,145273860
61,61,137,203,203,203,Wet,231252270,145273861
0,0,0,122,122,198,Moist,231268508,145299948
122,122,198,200,200,200,Wet,231268508,145299949
0,0,0,46,46,91,Moist,231268444,145299820
46,46,91,200,200,200,Wet,231268444,145299821
0,0,0,46,46,122,Moist,231268456,145299845
46,46,122,200,200,200,Wet,231268456,145299844
61,92,122,183,183,183,Wet,231252903,145274640
0,0,0,61,92,122,,231252903,145274639
0,0,0,76,76,152,Moist,231252266,145273852
76,76,152,203,203,203,Wet,231252266,145273853
NA,0,NA,NA,203,NA,Moist,231253268,145275112
0,0,0,168,168,203,Moist,231252818,145274554
168,168,203,203,203,203,Wet,231252818,145274553
0,0,0,107,107,183,Moist,231262530,145289171
107,107,183,200,200,200,Wet,231262530,145289170
0,0,0,203,203,203,Moist,231251944,145273401
0,0,0,137,137,198,Moist,231265047,145293944
137,137,198,200,200,200,Wet,231265047,145293945
0,0,0,152,152,200,Moist,231259710,145283799
152,152,200,200,200,200,Wet,231259710,145283798
NA,0,NA,NA,46,NA,Moist,231251979,145273465
NA,76,NA,NA,203,NA,Moist,231251979,145273467
46,46,61,76,76,76,Wet,231251979,145273466
0,0,0,203,203,203,Moist,231251828,145273193
0,0,0,0,15,30,,231252277,145273874
0,15,30,183,183,183,Wet,231252277,145273875
NA,0,NA,NA,30,NA,Moist,231252496,145274134
NA,76,NA,NA,203,NA,Moist,231252496,145274136
30,30,46,76,76,76,Wet,231252496,145274135
0,0,0,203,203,203,Moist,231266112,145295843
0,0,0,203,203,203,Moist,231252300,145273903
NA,0,NA,NA,203,NA,Moist,231252494,145274130
0,0,0,198,198,203,Moist,231252825,145274568
198,198,203,203,203,203,Wet,231252825,145274567
NA,0,NA,NA,46,NA,Moist,231252527,145274175
NA,76,NA,NA,203,NA,Moist,231252527,145274177
46,46,61,76,76,76,Wet,231252527,145274176
0,0,0,0,0,30,Moist,231252052,145273586
0,0,30,203,203,203,Wet,231252052,145273587
0,0,0,46,46,122,Moist,231259781,145283892
46,46,122,203,203,203,Wet,231259781,145283893
0,0,0,61,61,107,Moist,231252089,145273644
61,61,107,203,203,203,Wet,231252089,145273645
0,0,0,122,122,198,Moist,231266116,145295850
122,122,198,200,200,200,Wet,231266116,145295851
0,0,0,91,91,168,Moist,231268511,145299954
91,91,168,200,200,200,Wet,231268511,145299955
NA,0,NA,NA,203,NA,Moist,231253160,145274962
NA,0,NA,NA,46,NA,Moist,231253318,145275140
NA,76,NA,NA,203,NA,Moist,231253318,145275142
46,46,61,76,76,76,Wet,231253318,145275141
0,0,0,200,200,200,Moist,231262671,145289398
NA,0,NA,NA,30,NA,Moist,231251986,145273480
NA,76,NA,NA,203,NA,Moist,231251986,145273482
30,30,46,76,76,76,Wet,231251986,145273481
0,0,0,61,61,107,Moist,231266137,145295892
61,61,107,200,200,200,Wet,231266137,145295893
0,0,0,46,46,61,Moist,231262697,145289456
61,61,61,200,200,200,Moist,231262697,145289458
46,46,61,61,61,61,Wet,231262697,145289457
0,0,0,0,15,30,,231251798,145273152
0,15,30,183,183,183,Wet,231251798,145273153
0,0,0,203,203,203,Moist,231252321,145273938
0,0,0,203,203,203,Moist,231266111,145295842
0,0,0,0,0,30,Moist,231252093,145273653
0,0,30,203,203,203,Wet,231252093,145273652
0,0,0,200,200,200,Moist,231262416,145289003
0,0,0,200,200,200,Moist,231262556,145289203
0,0,0,200,200,200,Moist,231259459,145283464
0,0,0,61,61,137,Moist,231262398,145288978
61,61,137,200,200,200,Wet,231262398,145288979
0,0,0,198,198,200,Moist,231265066,145293983
198,198,200,200,200,200,Wet,231265066,145293982
0,15,30,183,183,183,Wet,231252880,145274624
0,0,0,0,15,30,,231252880,145274623
0,0,0,61,92,122,,231251809,145273168
61,92,122,183,183,183,Wet,231251809,145273169
0,0,0,61,61,107,Moist,231266138,145295894
61,61,107,200,200,200,Wet,231266138,145295895
NA,0,NA,NA,30,NA,Moist,231252310,145273921
NA,76,NA,NA,203,NA,Moist,231252310,145273923
30,30,46,76,76,76,Wet,231252310,145273922
0,0,0,61,92,122,,231252078,145273628
61,92,122,183,183,183,Wet,231252078,145273629
0,0,0,203,203,203,Moist,231251788,145273141
0,0,0,200,200,200,Moist,231262368,145288931
0,0,0,122,122,198,Moist,231252273,145273866
122,122,198,203,203,203,Wet,231252273,145273867
0,0,0,200,200,200,Moist,231262546,145289193
0,0,0,203,203,203,Moist,231252917,145274657
0,0,0,183,183,200,Moist,231262660,145289376
183,183,200,200,200,200,Wet,231262660,145289377
0,0,0,15,15,61,Moist,231266126,145295871
15,15,61,200,200,200,Wet,231266126,145295870
0,0,0,91,91,122,Moist,231265044,145293939
91,91,122,200,200,200,Wet,231265044,145293938
0,0,0,203,203,203,Moist,231252299,145273902
0,0,0,200,200,200,Moist,231259472,145283477
0,0,0,200,200,200,Moist,231259799,145283918
0,0,0,107,107,183,Moist,231266064,145295758
107,107,183,200,200,200,Wet,231266064,145295759
0,0,0,107,107,183,Moist,231268459,145299850
107,107,183,200,200,200,Wet,231268459,145299851
0,0,0,200,200,200,Moist,231259770,145283877
0,0,0,61,61,137,Moist,231262350,145288906
61,61,137,200,200,200,Wet,231262350,145288907
0,0,0,203,203,203,Moist,231266101,145295832
NA,0,NA,NA,46,NA,Moist,231251975,145273457
NA,76,NA,NA,203,NA,Moist,231251975,145273459
46,46,61,76,76,76,Wet,231251975,145273458
0,0,0,203,203,203,Moist,231251830,145273195
NA,0,NA,NA,46,NA,Moist,231253265,145275105
NA,76,NA,NA,203,NA,Moist,231253265,145275107
46,46,61,76,76,76,Wet,231253265,145275106
0,0,0,107,107,183,Moist,231252274,145273868
107,107,183,203,203,203,Wet,231252274,145273869
0,0,0,200,200,200,Moist,231262361,145288924
0,0,0,46,46,91,Moist,231265022,145293895
46,46,91,200,200,200,Wet,231265022,145293894
0,0,0,76,76,107,Moist,231268441,145299814
76,76,107,200,200,200,Wet,231268441,145299815
0,0,0,61,61,107,Moist,231252049,145273580
61,61,107,203,203,203,Wet,231252049,145273581
0,0,0,61,61,107,Moist,231266127,145295872
61,61,107,200,200,200,Wet,231266127,145295873
0,0,0,107,107,183,Moist,231266079,145295788
107,107,183,200,200,200,Wet,231266079,145295789
0,0,0,137,137,198,Moist,231262479,145289092
137,137,198,200,200,200,Wet,231262479,145289093
0,0,0,76,76,107,Moist,231265033,145293916
76,76,107,200,200,200,Wet,231265033,145293917
NA,0,NA,NA,203,NA,Moist,231252518,145274156
0,0,0,200,200,200,Moist,231262405,145288992
0,0,0,122,122,198,Moist,231262534,145289179
122,122,198,200,200,200,Wet,231262534,145289178
0,0,0,203,203,203,Moist,231251945,145273402
0,0,0,203,203,203,Moist,231252315,145273932
NA,0,NA,NA,203,NA,Moist,231251971,145273451
0,0,0,15,15,46,Moist,231262703,145289472
61,61,61,200,200,200,Moist,231262703,145289474
15,15,46,61,61,61,Wet,231262703,145289473
0,0,0,46,46,122,Moist,231266122,145295862
46,46,122,200,200,200,Wet,231266122,145295863
0,0,0,198,198,200,Moist,231259711,145283801
198,198,200,200,200,200,Wet,231259711,145283800
0,0,0,46,46,91,Moist,231266148,145295915
46,46,91,200,200,200,Wet,231266148,145295914
0,0,0,76,76,152,Moist,231262394,145288970
76,76,152,200,200,200,Wet,231262394,145288971
NA,0,NA,NA,203,NA,Moist,231253154,145274948
0,0,0,46,46,91,Moist,231265040,145293931
46,46,91,200,200,200,Wet,231265040,145293930
0,0,0,152,152,200,Moist,231262682,145289426
152,152,200,200,200,200,Wet,231262682,145289427
0,0,0,200,200,200,Moist,231259461,145283466
0,0,0,0,15,30,,231252104,145273670
0,15,30,183,183,183,Wet,231252104,145273671
0,0,0,200,200,200,Moist,231259792,145283911
0,0,0,203,203,203,Moist,231251789,145273142
NA,0,NA,NA,203,NA,Moist,231253309,145275123
0,0,0,91,91,168,Moist,231268463,145299858
91,91,168,200,200,200,Wet,231268463,145299859
0,0,0,0,15,30,,231252278,145273876
0,15,30,183,183,183,Wet,231252278,145273877
0,0,0,200,200,200,Moist,231259701,145283784
0,0,0,203,203,203,Moist,231251949,145273406
0,0,0,61,61,107,Moist,231268452,145299837
61,61,107,200,200,200,Wet,231268452,145299836
NA,NA,NA,183,183,183,,231251960,145273425
0,0,0,30,61,91,,231251960,145273426
30,61,91,NA,NA,NA,Wet,231251960,145273427
0,0,0,107,107,183,Moist,231262346,145288898
107,107,183,200,200,200,Wet,231262346,145288899
0,0,0,46,46,91,Moist,231266090,145295811
46,46,91,200,200,200,Wet,231266090,145295810
0,0,0,0,15,30,,231252284,145273884
0,15,30,183,183,183,Wet,231252284,145273885
0,0,0,46,46,46,Moist,231262693,145289448
61,61,61,200,200,200,Moist,231262693,145289450
46,46,61,61,61,61,Wet,231262693,145289449
0,0,0,137,137,198,Moist,231265059,145293969
137,137,198,200,200,200,Wet,231265059,145293968
0,0,0,76,76,107,Moist,231252056,145273595
76,76,107,203,203,203,Wet,231252056,145273594
0,0,0,0,15,30,,231251799,145273154
0,15,30,183,183,183,Wet,231251799,145273155
0,0,0,203,203,203,Moist,231252289,145273892
0,0,0,15,15,46,Moist,231268496,145299924
15,15,46,200,200,200,Wet,231268496,145299925
0,0,0,122,122,183,Moist,231265048,145293946
122,122,183,200,200,200,Wet,231265048,145293947
NA,76,NA,NA,203,NA,Moist,231253164,145274972
NA,0,NA,NA,46,NA,Moist,231253164,145274970
46,46,61,76,76,76,Wet,231253164,145274971
0,0,0,200,200,200,Moist,231262468,145289079
NA,0,NA,NA,61,NA,Moist,231253320,145275146
NA,76,NA,NA,203,NA,Moist,231253320,145275148
61,61,76,76,76,76,Wet,231253320,145275147
